lang,date,count
pt,2025-05-27 22:28:15+00:00,154
pt,2025-06-04 23:44:56+00:00,155
pt,2025-06-11 19:32:43+00:00,156
pt,2025-06-12 11:13:22+00:00,157
pt,2025-06-23 13:33:42+00:00,158
pt,2025-06-24 17:19:47+00:00,159
pt,2025-06-30 13:43:33+00:00,160
pt,2025-07-03 00:08:36+00:00,161
pt,2025-07-11 10:46:44+00:00,162
pt,2025-07-11 11:45:03+00:00,163
pt,2025-07-22 10:11:16+00:00,164
pt,2025-07-22 10:36:30+00:00,165
pt,2025-07-22 11:01:12+00:00,166
pt,2025-07-28 07:54:26+00:00,167
pt,2025-07-30 08:52:49+00:00,168
pt,2025-07-31 10:43:04+00:00,169
pt,2025-07-31 18:45:39+00:00,170
pt,2025-07-31 21:27:58+00:00,171
pt,2025-08-01 00:03:10+00:00,172
pt,2025-08-02 21:44:16+00:00,173
pt,2025-08-05 12:31:28+00:00,174
pt,2025-08-06 12:22:08+00:00,175
pt,2025-08-06 21:27:41+00:00,176
pt,2025-08-14 21:19:05+00:00,177
pt,2025-08-14 21:55:15+00:00,178
pt,2025-08-18 02:00:57+00:00,179
pt,2025-08-18 14:38:24+00:00,180
pt,2025-08-22 10:59:33+00:00,181
pt,2025-08-27 17:23:30+00:00,182
pt,2025-08-29 17:33:16+00:00,183
pt,2025-09-02 10:59:08+00:00,184
pt,2025-09-04 07:40:08+00:00,185
pt,2025-09-05 11:01:48+00:00,186
pt,2025-09-09 01:40:51+00:00,187
pt,2025-09-12 12:38:01+00:00,188
pt,2025-09-19 06:39:24+00:00,189
pt,2025-09-22 09:46:39+00:00,190
pt,2025-09-22 11:49:52+00:00,191
pt,2025-09-22 11:49:55+00:00,192
pt,2025-09-22 19:45:35+00:00,193
pt,2025-09-22 20:12:28+00:00,194
pt,2025-09-22 20:35:38+00:00,195
pt,2025-09-22 20:49:20+00:00,196
pt,2025-09-22 21:32:36+00:00,197
pt,2025-09-22 21:55:05+00:00,198
pt,2025-09-22 22:01:13+00:00,199
pt,2025-09-22 22:06:56+00:00,200
pt,2025-09-24 10:22:24+00:00,201
pt,2025-09-25 10:44:17+00:00,202
pt,2025-10-01 09:35:58+00:00,203
pt,2025-10-08 09:06:30+00:00,204
pt,2025-10-08 09:34:28+00:00,205
pt,2025-10-08 09:40:01+00:00,206
pt,2025-10-08 10:43:33+00:00,207
pt,2025-10-09 20:59:43+00:00,208
pt,2025-10-10 16:00:52+00:00,209
pt,2025-10-11 15:00:06+00:00,210
pt,2025-10-13 10:30:33+00:00,211
pt,2025-10-13 16:59:05+00:00,212
pt,2025-10-14 09:58:46+00:00,213
pt,2025-10-15 18:15:49+00:00,214
pt,2025-10-16 09:48:46+00:00,215
pt,2025-10-16 11:15:12+00:00,216
pt,2025-10-16 11:28:03+00:00,217
pt,2025-10-16 11:35:34+00:00,218
pt,2025-10-21 14:21:34+00:00,219
pt,2025-10-22 16:40:43+00:00,220
pt,2025-10-23 10:51:44+00:00,221
pt,2025-10-23 10:54:17+00:00,222
pt,2025-10-23 11:24:47+00:00,223
pt,2025-10-24 09:50:52+00:00,224
pt,2025-10-24 10:15:54+00:00,225
pt,2025-10-24 10:37:23+00:00,226
pt,2025-10-24 10:58:54+00:00,227
pt,2025-10-24 11:10:40+00:00,228
pt,2025-10-24 11:22:20+00:00,229
pt,2025-10-24 11:30:50+00:00,230
pt,2025-10-24 11:50:03+00:00,231
pt,2025-10-24 12:06:55+00:00,232
pt,2025-10-24 12:08:36+00:00,233
pt,2025-10-28 12:18:50+00:00,234
pt,2025-10-30 23:36:33+00:00,235
pt,2025-10-31 14:41:25+00:00,236
pt,2025-11-05 18:00:47+00:00,237
pt,2025-11-08 13:24:05+00:00,238
pt,2025-11-11 09:19:53+00:00,239
pt,2025-11-11 11:53:30+00:00,240
pt,2025-11-11 13:11:54+00:00,241
pt,2025-11-13 09:55:22+00:00,242
pt,2025-11-13 10:39:10+00:00,243
pt,2025-11-13 11:18:54+00:00,244
pt,2025-11-13 11:58:19+00:00,245
pt,2025-11-18 09:48:43+00:00,246
pt,2025-11-19 10:34:46+00:00,247
pt,2025-11-20 15:25:27+00:00,248
pt,2025-11-21 08:55:11+00:00,249
